Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known
100,0,0,0,0,6,2,41,1,6,2,2,0,0,0,13,14,14,13,1,46,2,0,1,

200,0,0,0,0,13,8,24,5,13,8,8,0,0,0,15,14,16,15,0,42,7,0,1,

300,0,0,0,0,15,9,20,6,15,9,9,0,0,0,16,14,16,15,0,41,8,0,1,
400,0,0,0,0,17,10,17,6,17,10,10,0,0,0,16,14,16,16,0,40,9,0,1,

500,0,1,0,0,21,11,12,5,21,11,11,0,0,1,16,14,17,16,0,39,10,0,1,
600,0,1,0,0,16,9,15,9,22,11,11,0,0,1,16,14,17,16,0,39,10,0,1,

700,0,1,0,0,12,4,21,12,25,12,12,0,0,1,16,14,18,16,0,38,11,0,1,
800,1,1,0,0,10,4,23,12,25,13,13,0,0,1,17,14,18,16,0,37,12,0,1,

900,1,1,0,0,8,3,25,12,25,13,13,0,0,2,17,14,18,16,0,37,12,0,1,
1000,1,1,0,0,4,2,30,13,25,13,13,0,0,2,17,14,18,16,0,37,12,0,1,

1100,1,1,0,2,3,2,31,12,25,13,13,0,0,3,17,14,18,16,0,37,12,0,1,
1200,2,1,0,2,2,2,29,14,27,14,14,0,0,5,17,14,18,17,0,36,13,0,1,

1300,2,1,0,2,6,3,24,14,31,16,16,0,0,5,18,15,18,17,0,34,15,0,1,
1400,3,2,0,3,7,4,23,12,32,17,17,0,0,7,18,15,19,17,0,33,16,0,1,

1500,4,2,1,3,8,4,22,9,33,17,17,0,0,10,18,15,19,17,0,33,16,0,1,
1600,4,2,2,3,10,4,21,8,35,17,17,0,0,11,18,15,19,17,0,33,16,0,1,

1700,4,3,3,3,10,4,21,9,37,18,18,0,0,11,19,15,19,17,0,32,17,0,1,
1800,4,3,3,3,7,2,25,8,38,18,18,0,0,13,19,15,19,17,0,32,17,0,1,

1900,4,3,4,5,6,2,28,7,38,19,19,0,0,14,19,15,20,17,0,31,18,0,1,

2000,4,3,4,5,6,2,30,7,39,19,19,0,0,15,19,15,20,17,0,31,18,0,1,
2100,4,3,4,5,6,2,31,7,41,19,19,0,0,15,19,15,20,17,0,31,18,0,1,

2200,5,3,4,5,6,2,30,6,43,20,20,0,0,17,19,15,20,18,0,30,19,0,1,
2300,5,3,4,5,5,2,33,6,43,20,20,0,0,17,19,15,20,18,0,30,19,0,1,

2400,5,3,4,6,7,4,30,5,45,23,23,0,0,18,19,16,21,19,0,27,22,0,1,
2500,5,3,4,6,6,4,31,6,45,23,23,0,0,18,19,16,21,19,0,27,22,0,1,

2600,5,3,4,6,5,4,31,7,46,23,23,0,0,18,19,16,21,19,0,27,22,0,1,
2700,6,3,4,6,3,3,34,8,46,23,23,0,0,19,19,16,21,19,0,27,22,0,1,

2800,6,3,4,7,5,3,31,8,48,23,23,0,0,20,19,16,21,19,0,27,22,0,1,
2900,6,3,5,7,4,1,34,8,49,24,24,0,0,21,19,16,21,20,0,26,23,0,1,

3000,6,3,5,7,4,1,34,8,49,24,24,0,0,21,19,16,21,20,0,26,23,0,1,
3100,7,3,5,7,4,2,32,8,50,25,25,0,0,22,19,16,21,21,0,25,24,0,1,

3200,7,4,5,7,4,2,33,8,50,25,25,0,0,22,19,16,21,21,0,25,24,0,1,
3300,7,4,5,7,4,2,32,9,52,25,25,0,0,23,19,16,21,21,0,25,24,0,1,

3400,7,4,5,7,5,2,31,10,54,26,26,0,0,23,19,16,22,21,0,24,25,0,1,
3500,7,4,7,8,6,2,30,7,55,26,26,0,0,26,19,16,22,21,0,24,25,0,1,

3600,7,4,7,9,7,2,30,7,57,27,27,0,0,27,19,17,22,21,0,24,24,1,1,
3700,7,4,8,9,8,2,29,6,58,27,27,0,0,28,19,17,22,21,0,24,24,1,1,

3800,7,4,8,9,7,2,31,6,59,27,27,0,0,28,19,17,22,21,0,24,24,1,1,
3900,7,4,8,10,8,3,29,6,62,29,29,0,0,28,20,17,23,21,0,22,26,1,1,

4000,8,5,8,10,7,3,33,3,62,29,29,0,0,31,20,17,23,21,0,22,26,1,1,
4100,8,5,8,10,6,3,33,4,63,30,30,0,0,31,21,17,23,21,0,21,27,1,1,

4200,8,5,8,10,6,3,33,5,64,30,30,0,0,31,21,17,23,21,0,21,27,1,1,
4300,8,5,8,10,5,3,33,6,64,30,30,0,0,31,21,17,23,21,0,21,27,1,1,

4400,8,5,8,10,3,1,35,8,65,30,30,0,0,31,21,17,23,21,0,21,27,1,1,

4500,8,5,8,10,4,2,36,8,66,31,31,0,0,31,21,18,23,21,0,20,28,1,1,
4600,8,5,10,10,5,2,34,8,68,32,32,0,0,33,21,18,23,22,0,19,29,1,1,

4700,8,5,10,12,4,2,35,7,68,32,32,0,0,34,21,18,23,22,0,19,29,1,1,
4800,8,5,10,12,4,2,33,8,68,32,32,0,0,35,21,18,23,22,0,19,29,1,1,

4900,9,5,10,12,6,3,30,7,71,33,33,0,0,36,21,18,23,23,0,19,28,2,1,
5000,9,7,11,12,5,2,30,7,71,33,33,0,0,38,21,18,23,23,0,19,28,2,1,

5100,9,7,11,12,3,1,32,9,71,33,33,0,0,38,21,18,23,23,0,19,28,2,1,
5200,10,7,11,12,3,1,33,7,71,33,33,0,0,40,21,18,23,23,0,19,28,2,1,

5300,10,7,11,12,6,1,30,8,74,33,33,0,0,40,21,18,23,23,0,19,28,2,1,
5400,10,7,11,13,3,0,33,9,74,33,33,0,0,41,21,18,23,23,0,19,28,2,1,

5500,10,8,11,13,4,0,33,8,75,33,33,0,0,42,21,18,23,23,0,19,28,2,1,
5600,10,8,11,14,4,1,33,7,75,34,34,0,0,43,21,19,23,23,0,18,29,2,1,

5700,12,9,11,14,4,1,35,4,75,34,34,0,0,46,21,19,23,23,0,18,29,2,1,
5800,12,9,11,14,5,3,31,5,79,36,36,0,0,46,21,20,23,24,0,16,31,2,1,

5900,12,9,12,14,5,3,32,4,79,36,36,0,0,47,21,20,23,24,0,16,31,2,1,
6000,12,9,12,14,5,4,30,6,80,37,37,0,0,47,21,20,24,24,0,15,32,2,1,

6100,12,9,12,15,7,4,29,5,82,38,38,0,0,48,22,20,24,24,0,14,33,2,1,
6200,12,9,12,15,7,5,28,8,82,39,39,0,0,48,22,21,24,24,0,13,34,2,1,

6300,12,9,13,16,3,3,31,8,82,39,39,0,0,50,22,21,24,24,0,13,34,2,1,
6400,12,9,13,16,3,3,32,9,82,39,39,0,0,50,22,21,24,24,0,13,34,2,1,

6500,12,9,13,16,2,2,33,10,82,39,39,0,0,50,22,21,24,24,0,13,34,2,1,
6600,12,9,13,17,1,2,35,9,83,40,40,0,0,51,22,21,25,24,0,12,35,2,1,

6700,13,9,13,17,1,1,36,8,83,40,40,0,0,52,22,21,25,24,0,12,35,2,1,
6800,13,9,13,17,2,1,37,8,84,40,40,0,0,52,22,21,25,24,0,12,35,2,1,

6900,13,9,14,18,3,2,35,6,85,41,41,0,0,54,22,21,26,24,0,12,34,3,1,
7000,13,10,14,18,5,2,34,5,87,41,41,0,0,55,22,21,26,24,0,12,34,3,1,

7100,13,11,14,18,4,2,35,5,87,42,42,0,0,56,22,21,27,24,0,12,33,4,1,

7200,14,12,14,18,4,3,34,4,87,43,43,0,0,58,23,21,27,24,0,12,32,5,1,
7300,14,12,14,18,3,3,34,5,87,43,43,0,0,58,23,21,27,24,0,12,32,5,1,

7400,14,12,14,18,4,2,35,6,89,43,43,0,0,58,23,21,27,24,0,12,32,5,1,
7500,15,13,14,18,3,2,34,7,90,43,43,0,0,59,23,21,27,24,0,12,32,5,1,

7600,15,13,14,18,3,2,33,8,90,44,44,0,0,60,23,21,28,24,0,12,31,6,1,
7700,15,13,14,18,3,1,34,10,90,44,44,0,0,60,23,21,28,24,0,12,31,6,1,

7800,15,13,14,18,3,1,34,10,90,44,44,0,0,60,23,21,28,24,0,12,31,6,1,
7900,15,13,14,18,1,2,35,10,90,45,45,0,0,60,23,22,28,24,0,11,32,6,1,

8000,15,13,14,18,1,2,35,11,91,45,45,0,0,60,23,22,28,24,0,11,32,6,1,
8100,16,13,15,18,1,2,35,10,91,46,46,0,0,62,23,22,28,25,0,11,31,7,1,

8200,16,15,17,20,1,2,35,5,91,46,46,0,0,67,23,22,28,25,0,11,31,7,1,
8300,18,15,17,20,2,2,34,3,92,46,46,0,0,69,23,22,28,25,0,11,31,7,1,

8400,18,15,17,20,2,1,35,3,92,46,46,0,0,69,23,22,28,25,0,11,31,7,1,
8500,18,15,17,20,2,1,34,4,93,46,46,0,0,69,23,22,28,25,0,11,31,7,1,

8600,18,15,17,20,2,0,37,3,93,46,46,0,0,70,23,22,28,25,0,11,31,7,1,
8700,18,15,17,20,2,0,42,3,93,46,46,0,0,70,23,22,28,25,0,11,31,7,1,

8800,18,15,17,20,2,0,44,3,94,46,46,0,0,70,23,22,28,25,0,11,31,7,1,
8900,18,15,17,20,2,1,43,3,94,47,47,0,0,70,23,23,28,25,0,10,32,7,1,

9000,18,15,17,21,1,2,41,5,94,48,48,0,0,70,23,23,28,26,0,10,31,8,1,
9100,18,15,18,21,2,2,39,5,95,48,48,0,0,72,23,23,28,26,0,10,31,8,1,

9200,18,15,18,21,2,2,37,7,95,48,48,0,0,72,23,23,28,26,0,10,31,8,1,
9300,18,15,18,21,1,2,36,9,95,48,48,0,0,72,23,23,28,26,0,10,31,8,1,

9400,18,15,19,21,1,1,37,8,95,48,48,0,0,73,23,23,28,26,0,10,31,8,1,
9500,18,15,19,21,1,0,37,9,95,48,48,0,0,73,23,23,28,26,0,10,31,8,1,

9600,18,15,19,21,0,0,39,10,95,48,48,0,0,73,23,23,28,26,0,10,31,8,1,
9700,18,15,19,21,0,0,39,10,95,48,48,0,0,73,23,23,28,26,0,10,31,8,1,

9800,20,15,19,21,0,0,39,9,95,48,48,0,0,74,23,23,28,26,0,10,31,8,1,
9900,20,15,19,21,2,0,38,9,97,48,48,0,0,74,23,23,28,26,0,10,31,8,1,

10000,20,15,19,21,3,0,37,9,98,48,48,0,0,74,23,23,28,26,0,10,31,8,1,
10100,20,15,20,21,3,2,34,8,98,50,50,0,0,76,23,24,29,26,0,9,31,9,1,

10200,20,16,20,21,3,2,32,9,98,50,50,0,0,77,23,24,29,26,0,9,31,9,1,
10300,20,18,20,22,3,2,33,7,98,50,50,0,0,79,23,24,29,26,0,9,31,9,1,

10400,20,18,20,22,1,2,34,8,98,50,50,0,0,79,23,24,29,26,0,9,31,9,1,
10500,20,18,20,22,0,2,35,8,98,50,50,0,0,79,23,24,29,26,0,9,31,9,1,

10600,20,18,20,22,0,0,39,7,98,50,50,0,0,80,23,24,29,26,0,9,31,9,1,
10700,20,18,21,23,0,0,40,5,98,50,50,0,0,82,23,24,29,26,0,9,31,9,1,

10800,20,18,21,23,1,1,40,5,99,51,51,0,0,82,23,25,29,26,0,8,32,9,1,
10900,20,19,21,23,1,1,40,5,99,51,51,0,0,82,23,25,29,26,0,8,32,9,1,

11000,20,19,22,23,1,1,40,4,99,51,51,0,0,83,23,25,29,26,0,8,32,9,1,
11100,20,20,22,23,2,2,38,4,100,52,52,0,0,84,23,25,29,27,0,8,31,10,1,

11200,20,20,22,23,3,3,38,3,101,53,53,0,0,85,24,25,29,27,0,8,30,11,1,
11300,20,20,22,23,3,2,38,4,102,53,53,0,0,85,24,25,29,27,0,8,30,11,1,

11400,20,20,23,23,3,2,38,4,102,53,53,0,0,85,24,25,29,27,0,8,30,11,1,
11500,20,20,23,23,3,2,39,3,102,53,53,0,0,86,24,25,29,27,0,8,30,11,1,

11600,20,21,23,23,3,2,39,3,103,54,54,0,0,87,25,25,29,27,0,8,29,12,1,
11700,20,22,23,23,3,1,40,4,104,54,54,0,0,87,25,25,29,27,0,8,29,12,1,

11800,20,22,23,23,2,1,41,3,104,54,54,0,0,88,25,25,29,27,0,8,29,12,1,
11900,20,22,23,23,2,1,41,3,104,54,54,0,0,88,25,25,29,27,0,8,29,12,1,

12000,20,22,23,23,3,1,41,3,105,54,54,0,0,88,25,25,29,27,0,8,29,12,1,
12100,20,22,23,23,2,0,43,4,105,54,54,0,0,88,25,25,29,27,0,8,29,12,1,

12200,21,22,23,23,1,1,44,3,105,55,55,0,0,89,25,26,29,27,0,8,28,13,1,
12300,21,23,23,23,1,1,45,3,105,55,55,0,0,89,25,26,29,27,0,8,28,13,1,

12400,21,23,23,23,1,1,45,2,105,55,55,0,0,90,25,26,29,27,0,8,28,13,1,
12500,21,23,23,23,0,1,46,2,105,55,55,0,0,90,25,26,29,27,0,8,28,13,1,

12600,21,23,23,24,0,1,45,2,105,55,55,0,0,91,25,26,29,27,0,8,28,13,1,
12700,21,23,23,24,0,0,46,2,105,55,55,0,0,91,25,26,29,27,0,8,28,13,1,

12800,22,23,23,24,0,0,45,2,105,55,55,0,0,92,25,26,29,27,0,8,28,13,1,
12900,22,23,23,24,0,0,46,2,105,55,55,0,0,92,25,26,29,27,0,8,28,13,1,

13000,22,23,23,24,0,0,46,2,105,55,55,0,0,92,25,26,29,27,0,8,28,13,1,
13100,22,23,23,24,0,0,46,3,105,55,55,0,0,92,25,26,29,27,0,8,28,13,1,

13200,22,23,23,24,0,0,46,3,105,55,55,0,0,92,25,26,29,27,0,8,28,13,1,
13300,22,23,23,24,0,0,47,3,105,55,55,0,0,92,25,26,29,27,0,8,28,13,1,

13400,22,23,23,24,0,0,46,4,105,55,55,0,0,92,25,26,29,27,0,8,28,13,1,
13500,22,23,23,24,0,0,46,4,105,55,55,0,0,92,25,26,29,27,0,8,28,13,1,

13600,23,23,23,25,0,0,46,2,105,55,55,0,0,94,25,26,29,27,0,8,28,13,1,
13700,23,24,23,25,0,0,46,1,105,55,55,0,0,95,25,26,29,27,0,8,28,13,1,

13800,23,24,23,25,0,0,46,1,105,55,55,0,0,95,25,26,29,27,0,8,28,13,1,
13900,23,24,23,25,0,0,46,1,105,55,55,0,0,95,25,26,29,27,0,8,28,13,1,

14000,23,24,23,25,0,0,46,1,105,55,55,0,0,95,25,26,29,27,0,8,28,13,1,
14100,23,24,23,25,0,0,48,1,105,55,55,0,0,95,25,26,29,27,0,8,28,13,1,

14200,23,24,23,25,0,0,47,3,105,55,55,0,0,95,25,26,29,27,0,8,28,13,1,
14300,23,24,23,25,0,0,47,3,105,55,55,0,0,95,25,26,29,27,0,8,28,13,1,

14400,24,24,23,25,0,0,47,2,105,55,55,0,0,96,25,26,29,27,0,8,28,13,1,
14500,24,24,23,25,0,0,47,2,105,55,55,0,0,96,25,26,29,27,0,8,28,13,1,

14600,24,24,23,25,0,0,47,2,105,55,55,0,0,96,25,26,29,27,0,8,28,13,1,
14700,24,24,23,25,0,0,47,2,105,55,55,0,0,96,25,26,29,27,0,8,28,13,1,

14800,25,24,24,25,0,0,46,2,105,55,55,0,0,97,25,26,29,27,0,8,28,13,1,
14900,25,24,24,25,0,0,47,1,105,55,55,0,0,98,25,26,29,27,0,8,28,13,1,

15000,25,24,24,25,0,0,47,1,105,55,55,0,0,98,25,26,29,27,0,8,28,13,1,
15100,25,24,24,25,0,0,47,1,105,55,55,0,0,98,25,26,29,27,0,8,28,13,1,

15200,25,24,24,25,0,0,47,1,105,55,55,0,0,98,25,26,29,27,0,8,28,13,1,

15300,25,24,24,25,1,1,46,1,106,56,56,0,0,98,25,27,29,27,0,8,27,14,1,
15400,25,24,24,25,1,1,47,1,106,56,56,0,0,98,25,27,29,27,0,8,27,14,1,

15500,25,24,24,25,1,1,47,1,106,56,56,0,0,98,25,27,29,27,0,8,27,14,1,
15600,25,24,24,25,1,1,47,1,106,56,56,0,0,98,25,27,29,27,0,8,27,14,1,

15700,25,24,24,25,1,1,47,1,106,56,56,0,0,98,25,27,29,27,0,8,27,14,1,
15800,25,24,24,25,0,0,48,2,106,56,56,0,0,98,25,27,29,27,0,8,27,14,1,

15900,25,24,25,25,0,0,48,1,106,56,56,0,0,99,25,27,29,27,0,8,27,14,1,
16000,25,24,25,25,0,0,48,1,106,56,56,0,0,99,25,27,29,27,0,8,27,14,1,

16100,25,24,25,25,0,0,48,1,106,56,56,0,0,99,25,27,29,27,0,8,27,14,1,
16200,25,24,25,25,0,0,48,1,106,56,56,0,0,99,25,27,29,27,0,8,27,14,1,

16300,25,24,25,25,0,0,48,1,106,56,56,0,0,99,25,27,29,27,0,8,27,14,1,
16400,25,24,25,25,0,0,49,1,106,56,56,0,0,99,25,27,29,27,0,8,27,14,1,

16500,25,24,25,25,0,0,49,1,106,56,56,0,0,99,25,27,29,27,0,8,27,14,1,
16600,25,24,25,25,0,0,49,1,106,56,56,0,0,99,25,27,29,27,0,8,27,14,1,

16700,25,24,25,25,0,0,49,1,106,56,56,0,0,99,25,27,29,27,0,8,27,14,1,
16800,25,24,25,25,0,0,49,1,106,56,56,0,0,99,25,27,29,27,0,8,27,14,1,

16900,25,25,25,25,0,0,49,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,
17000,25,25,25,25,0,0,49,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,

17100,25,25,25,25,0,0,49,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,
17200,25,25,25,25,0,0,49,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,

17300,25,25,25,25,0,0,49,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,
17400,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,

17500,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,
17600,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,

17700,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,
17800,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,

17900,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,
18000,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,

18100,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,
18200,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,

18300,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,
18400,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,

18500,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,
18600,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,

18700,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,
18800,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,

18900,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,
19000,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,

19100,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,
19200,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,

19300,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,
19400,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,

19500,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,
19600,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,

19700,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,
19800,25,25,25,25,0,0,50,0,106,56,56,0,0,100,25,27,29,27,0,8,27,14,1,

