Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known, Known St. RG, Known St. RY, Known St. RB, Known St. GY, Known St. GB, Known St. YB, Known St. RGY, Known St. RGB, Known St. RYB, Known St. GYB, Known St. RGYB
10,0,0,0,0,3,1,34,2,3,1,1,0,0,0,10,11,10,10,0,39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,

20,0,0,0,0,3,1,34,2,3,1,1,0,0,0,10,11,10,10,0,39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,

30,0,0,0,0,4,1,33,2,4,1,1,0,0,0,10,11,10,10,0,39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,

40,0,0,0,0,4,1,33,2,4,1,1,0,0,0,10,11,10,10,0,39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,

50,0,0,0,0,4,1,33,2,4,1,1,0,0,0,10,11,10,10,0,39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,

60,0,0,0,0,4,1,33,2,4,1,1,0,0,0,10,11,10,10,0,39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,

70,0,0,0,0,4,1,32,3,4,1,1,0,0,0,10,11,10,10,0,39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,

80,0,0,0,0,4,1,32,3,4,1,1,0,0,0,10,11,10,10,0,39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,

90,0,0,0,0,4,1,32,3,4,1,1,0,0,0,10,11,10,10,0,39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,

100,0,0,0,0,4,1,32,3,4,1,1,0,0,0,10,11,10,10,0,39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,

110,0,0,0,0,4,1,32,3,4,1,1,0,0,0,10,11,10,10,0,39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,

120,0,0,0,0,4,1,32,3,4,1,1,0,0,0,10,11,10,10,0,39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,

130,0,0,0,0,4,1,32,3,4,1,1,0,0,0,10,11,10,10,0,39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,

140,0,0,0,0,6,1,30,3,6,1,1,0,0,0,10,11,10,10,0,39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,

150,0,0,0,0,6,2,29,3,6,2,2,0,0,0,10,12,10,10,0,38,2,0,0,0,0,0,2,0,0,0,0,0,0,0,

160,0,0,0,0,6,2,29,3,6,2,2,0,0,0,10,12,10,10,0,38,2,0,0,0,0,0,2,0,0,0,0,0,0,0,

170,0,0,0,0,6,2,29,3,6,2,2,0,0,0,10,12,10,10,0,38,2,0,0,0,0,0,2,0,0,0,0,0,0,0,

180,0,0,0,0,6,3,28,3,6,3,3,0,0,0,11,12,10,10,0,37,3,0,0,0,0,1,2,0,0,0,0,0,0,0,

190,0,0,0,0,6,3,28,3,6,3,3,0,0,0,11,12,10,10,0,37,3,0,0,0,0,1,2,0,0,0,0,0,0,0,

200,0,0,0,0,6,3,28,3,6,3,3,0,0,0,11,12,10,10,0,37,3,0,0,0,0,1,2,0,0,0,0,0,0,0,

210,0,0,0,0,7,3,27,3,7,3,3,0,0,0,11,12,10,10,0,37,3,0,0,0,0,1,2,0,0,0,0,0,0,0,

220,0,0,0,0,7,3,27,3,7,3,3,0,0,0,11,12,10,10,0,37,3,0,0,0,0,1,2,0,0,0,0,0,0,0,

230,0,0,0,0,7,3,27,3,7,3,3,0,0,0,11,12,10,10,0,37,3,0,0,0,0,1,2,0,0,0,0,0,0,0,

240,0,0,0,0,7,3,27,3,7,3,3,0,0,0,11,12,10,10,0,37,3,0,0,0,0,1,2,0,0,0,0,0,0,0,

250,0,0,0,0,7,3,27,3,7,3,3,0,0,0,11,12,10,10,0,37,3,0,0,0,0,1,2,0,0,0,0,0,0,0,

260,0,0,0,0,8,4,25,3,8,4,4,0,0,0,12,12,10,10,0,36,4,0,0,0,1,1,2,0,0,0,0,0,0,0,

270,0,0,0,1,9,5,23,3,9,5,5,0,0,0,13,12,10,10,0,35,5,0,0,0,1,2,2,0,0,0,0,0,0,0,

280,0,0,0,1,11,7,19,2,11,7,7,0,0,1,13,12,11,11,0,33,7,0,0,1,1,2,2,0,1,0,0,0,0,0,

290,0,0,0,1,11,7,18,3,11,7,7,0,0,1,13,12,11,11,0,33,7,0,0,1,1,2,2,0,1,0,0,0,0,0,

300,0,0,0,1,11,7,18,3,11,7,7,0,0,1,13,12,11,11,0,33,7,0,0,1,1,2,2,0,1,0,0,0,0,0,

310,0,0,0,1,11,7,18,3,11,7,7,0,0,1,13,12,11,11,0,33,7,0,0,1,1,2,2,0,1,0,0,0,0,0,

320,0,0,0,1,11,7,18,3,11,7,7,0,0,1,13,12,11,11,0,33,7,0,0,1,1,2,2,0,1,0,0,0,0,0,

330,0,0,0,1,11,7,18,3,11,7,7,0,0,1,13,12,11,11,0,33,7,0,0,1,1,2,2,0,1,0,0,0,0,0,

340,0,0,0,1,11,7,18,3,11,7,7,0,0,1,13,12,11,11,0,33,7,0,0,1,1,2,2,0,1,0,0,0,0,0,

350,0,0,0,1,11,7,18,3,11,7,7,0,0,1,13,12,11,11,0,33,7,0,0,1,1,2,2,0,1,0,0,0,0,0,

360,0,0,0,1,11,7,18,3,11,7,7,0,0,1,13,12,11,11,0,33,7,0,0,1,1,2,2,0,1,0,0,0,0,0,

370,0,0,0,1,11,7,18,3,11,7,7,0,0,1,13,12,11,11,0,33,7,0,0,1,1,2,2,0,1,0,0,0,0,0,

380,0,0,0,1,11,7,18,3,11,7,7,0,0,1,13,12,11,11,0,33,7,0,0,1,1,2,2,0,1,0,0,0,0,0,

390,0,0,0,1,11,7,18,3,11,7,7,0,0,1,13,12,11,11,0,33,7,0,0,1,1,2,2,0,1,0,0,0,0,0,

400,0,0,0,1,12,7,17,3,12,7,7,0,0,1,13,12,11,11,0,33,7,0,0,1,1,2,2,0,1,0,0,0,0,0,

410,0,0,0,1,12,7,17,3,12,7,7,0,0,1,13,12,11,11,0,33,7,0,0,1,1,2,2,0,1,0,0,0,0,0,

420,0,0,0,1,12,8,16,3,12,8,8,0,0,1,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

430,0,0,0,1,12,8,16,3,12,8,8,0,0,1,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

440,0,0,0,1,12,8,16,3,12,8,8,0,0,1,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

450,0,0,0,1,12,8,16,3,12,8,8,0,0,1,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

460,0,0,0,1,12,8,16,3,12,8,8,0,0,1,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

470,0,0,0,1,13,8,15,3,13,8,8,0,0,1,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

480,0,0,0,1,13,8,15,3,13,8,8,0,0,1,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

490,0,0,0,1,13,8,15,3,13,8,8,0,0,1,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

500,0,0,0,1,14,8,14,3,14,8,8,0,0,1,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

510,0,0,0,1,11,7,18,3,14,8,8,0,0,1,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

520,0,0,0,1,11,7,18,3,14,8,8,0,0,1,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

530,0,0,0,1,10,7,18,4,14,8,8,0,0,1,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

540,0,0,0,1,10,7,18,4,14,8,8,0,0,1,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

550,0,0,0,1,10,7,18,4,14,8,8,0,0,1,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

560,0,0,0,1,10,7,18,4,14,8,8,0,0,1,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

570,0,0,0,1,10,7,18,4,14,8,8,0,0,1,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

580,0,0,0,1,10,7,18,4,14,8,8,0,0,1,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

590,0,0,1,1,10,7,18,4,14,8,8,0,0,1,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

600,0,0,1,1,10,7,17,4,14,8,8,0,0,2,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

610,0,0,1,1,10,7,17,4,14,8,8,0,0,2,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

620,0,0,1,1,10,7,17,4,14,8,8,0,0,2,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

630,0,0,1,1,11,7,16,4,15,8,8,0,0,2,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

640,0,0,1,1,10,7,16,5,15,8,8,0,0,2,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

650,0,0,1,1,9,6,17,6,15,8,8,0,0,2,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

660,0,0,1,1,9,6,17,6,15,8,8,0,0,2,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

670,0,0,1,1,9,6,17,6,15,8,8,0,0,2,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

680,0,0,1,1,9,5,18,6,15,8,8,0,0,2,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

690,0,0,1,1,9,5,18,6,15,8,8,0,0,2,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

700,0,0,1,1,10,5,17,6,16,8,8,0,0,2,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

710,0,0,1,1,9,5,18,6,16,8,8,0,0,2,13,12,12,11,0,32,8,0,0,1,1,2,2,0,2,0,0,0,0,0,

720,0,0,1,1,9,6,17,6,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

730,0,0,1,1,9,6,17,6,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

740,0,0,1,1,9,6,17,6,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

750,0,0,1,1,9,6,17,6,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

760,0,0,1,1,8,5,16,8,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

770,0,0,1,1,7,4,17,9,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

780,0,0,1,1,5,2,22,10,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

790,0,0,1,1,5,2,22,10,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

800,0,0,1,1,5,2,22,10,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

810,0,0,1,1,5,2,22,10,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

820,0,0,1,1,5,2,22,10,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

830,0,0,1,1,5,2,22,10,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

840,0,0,1,1,5,2,22,10,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

850,0,0,1,1,5,2,22,10,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

860,0,0,1,1,5,2,22,10,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

